Variable,Value,Label
Status,IP Address,0
Finished,True,1
x2.2,Male,2
x2.2,Female,1
x2.3,Yes,1
x2.3,No,2
x2.4,Secondary 2,9
x2.4,Secondary 4,11
x2.4,Secondary 3,10
x2.4,Secondary 1,8
x2.4,Primary 7,7
x2.4,Primary 6,6
x2.4,Secondary 5,12
x2.4,Primary 5,5
x2.4,Primary 3,3
x2.4,Primary 4,4
x2.4,Secondary 6,13
x2.5,Government school,1
x2.5,"Other, please specify",5
x2.5,Vocational /Technical school,4
x2.5,Private school,2
x2.5,Religious school (Seminary/Convent),3
x2.6,Secondary 4,11
x2.6,Post secondary education,14
x2.6,Secondary 3,10
x2.6,Primary 6,6
x2.6,Primary 7,7
x2.6,Secondary 1,8
x2.6,Primary 1,1
x2.6,Secondary 2,9
x2.6,Secondary 5,12
x2.6,Primary 2,2
x2.6,Primary 3,3
x2.6,Secondary 6,13
x2.7,Christian,1
x2.7,Pagen,2
x2.7,Pentecostal,4
x2.7,Muslim,3
x2.7,"Other, please specify",6
x2.7,Jewish,5
x2.8,I am employed,2
x2.8,I am unemployed and seeking a job,5
x2.8,I am employed and in school,3
x2.8,I am in school only,1
x2.8,I am unemployed and not seeking a job,4
x2.9,Single,1
x2.9,Currently have a boyfriend or girlfriend,2
x2.9,Married,3
x2.9,Widowed,4
x2.9,Divorced,5
x2.10,Cement,6
x2.10,Carpet,7
x2.10,Tiles,5
x2.10,"Other, please specify",8
x2.10,"Earth, sand",1
x2.10,Wood/planks,3
x2.10,Dung,2
x2.10,Palm/bamboo,4
x2.11,Sheet metal,2
x2.11,Mud,1
x2.11,Cement,4
x2.11,Wood/planks,3
x2.11,Plastic,5
x2.11,Roof tiles,6
x2.12,Shared flush/pour flush to piped sewer system,1
x2.12,Own fresh life toilet,8
x2.12,Shared pit latrine,3
x2.12,Shared fresh life toilet,4
x2.12,Own flush/pour flush to piped sewer system,5
x2.12,"Other, please specify",10
x2.12,Shared flush/pour flush to latrine,2
x2.12,Own flush/pour flush to latrine,6
x2.12,Own pit latrine,7
x2.13,Public tap,2
x2.13,Bottled water,5
x2.13,Piped water into dweling,1
x2.13,Tube well or borehole,3
x2.13,Water vendors,4
x2.14,I share a shower/bathing are with my neighbor,3
x2.14,I buy water to bathe in my house,2
x2.14,I pay to use a public shower/bathing facility,4
x2.14,My household has a shower/bathing area,1
x2.14,"Other, please specify",5
x2.16,Wage employment,1
x2.16,Petty business,2
x2.16,"Organizational support (food aid, NGO, etc)",6
x2.16,Relatives/Remittances,5
x2.16,"Other, please specify",7
x2.16,"Transfers (pension, social security, etc)",4
x2.16,Property income/landlords,3
x2.17,2 meals,3
x2.17,1 meal,2
x2.17,More than 3 meals,5
x2.17,3 meals,4
x2.18,Purchased at market,1
x2.18,Combination of home garden and local market,3
x2.18,Homegrown,2
x2.18,NGO support,4
x2.20,In the house,1
x2.20,I buy food outside of my house,4
x2.20,Outdoors,3
x2.20,In a separate building,2
x2.21,Gas,2
x2.21,Coal/Charcoal,4
x2.21,Kerosene,3
x2.21,I do not cook at home,8
x2.21,Wood,5
x2.21,Electricity,1
x2.21,"Other, please specify",9
x2.21,Straw/grass/shrubs,6
x3.1,Yes,1
x3.1,No,2
x3.2,Disposable pad,2
x3.2,Cotton wool,4
