"x1.1","x1.2","x2.1","x2.2","x2.7","x2.8","x2.9","x2.16","x2.17"
4,345,18,"1","1","1","2","2","4"
4,344,19,"1","1","5","1","2","3"
5,1000,19,"1","1","5","1","1","4"
5,30,17,"2","2","4","1","1","3"
5,30200,16,"2","4","1","1","1","3"
5,1001,19,"1","1","5","1","1","5"
5,1002,20,"1","1","5","1","2","3"
5,1003,20,"1","1","5","1","2","3"
4,343,19,"2","3","1","1","5","3"
4,346,19,"1","1","4","1","5","3"
5,484,15,"1","1","1","1","4","3"
5,485,14,"1","1","1","1","4","3"
5,486,13,"1","3","1","1","5","3"
5,487,15,"1","3","1","1","4","3"
2,104,19,"2","1","5","1","1","4"
2,105,19,"1","1","5","1","2","4"
2,106,18,"1","1","5","1","2","4"
2,108,20,"2","1","2","1","1","4"
2,111,13,"2","1","1","1","5","3"
1,87,16,"1","1","1","1","2","4"
1,88,19,"1","1","1","1","2","4"
1,89,18,"2","3","1","1","2","3"
1,90,18,"1","1","2","3","2","3"
1,91,13,"1","1","1","1","1","2"
3,283,20,"2","3","5","2","1","4"
3,284,20,"2","3","4","1","7","2"
3,285,19,"2","1","1","2","1","4"
4,349,20,"2","1","5","2","2","3"
4,348,13,"2","1","1","1","5","3"
4,350,19,"1","1","5","2","2","3"
1,35,18,"1","1","4","1","2","4"
1,36,17,"1","1","1","1","2","4"
1,37,16,"1","1","1","1","2","4"
1,38,15,"2","1","1","1","1","4"
1,39,19,"1","1","5","1","2","4"
1,40,15,"2","1","5","1","1","4"
2,155,13,"1","1","1","1","2","3"
4,305,16,"1","1","4","1","1","4"
2,117,13,"2","1","1","1","1","3"
1,1,19,"1","1","5","1","1","3"
4,341,20,"1","1","4","1","2","3"
4,301,13,"1","1","4","1","1","4"
4,361,19,"1","1","5","1","2","3"
3,223,20,"2","1","5","1","2","3"
3,224,16,"1","1","1","1","6","4"
4,371,16,"1","1","5","1","2","3"
4,369,20,"1","1","5","1","2","3"
2,183,18,"1","1","5","1","2","2"
1,96,17,"1","1","1","1","6","3"
1,31,15,"1","1","1","1","1","3"
3,291,15,"1","4","1","1","1","3"
2,149,19,"2","1","5","2","2","4"
3,261,19,"1","1","2","1","1","3"
3,289,13,"1","1","1","2","2","3"
3,290,16,"1","1","1","1","2","3"
3,287,19,"1","1","1","1","1","3"
3,288,15,"1","1","1","2","2","3"
3,266,20,"1","1","5","1","2","3"
3,225,19,"1","1","4","1","1","3"
3,226,16,"1","1","1","1","1","4"
3,222,18,"1","1","1","1","2","3"
3,227,18,"1","1","5","1","1","3"
4,370,15,"2","1","1","1","2","3"
4,347,15,"2","1","1","1","5","4"
3,244,14,"2","1",NA,NA,"2","3"
2,124,18,"2","1","1","1","1","5"
4,321,19,"1","1","5","1","2","2"
3,242,16,"1","1",NA,NA,"2","3"
6,525,19,"2","1","5","1","1","2"
6,524,18,"2","1","5","5","1","3"
3,232,18,"1","1","4","1","1","3"
3,234,20,"2","1","4","1","2","4"
5,1200,18,"1","1","5","1","1","3"
3,233,19,"2","1","4","1","2","3"
3,235,16,"1","1","1","1","2","3"
3,295,16,"1","1","1","1","1","3"
2,116,17,"1","1","4","1","1","4"
3,297,14,"1","1","1","1","1","3"
4,334,16,"2","1","1","1","7","4"
3,296,13,"1","1","1","1","1","4"
4,335,19,"1","1","5","1","2","4"
4,376,18,"1","1","5","3","2","3"
4,377,19,"1","1","5","3","2","3"
2,170,20,"1","1","5","2","1","3"
2,176,20,"1","1","5","1","1","3"
2,195,20,"2","1","5","2","1","3"
2,198,20,"1","1","3","1","2","2"
2,190,18,"1","1","5","1","1","3"
6,539,17,"1","1","1","1","1","3"
6,542,19,"2","1","5","1","1","4"
6,543,18,"2","1","5","1","1","3"
6,540,16,"2","1","1","1","1","4"
6,538,18,"1","1","5","1","1","3"
6,541,17,"2","1","1","1","1","3"
2,162,19,"1","1","5","1","2","4"
2,163,14,"1","3","1","1","2","4"
2,197,13,"1","1","4","1","2","3"
1,34,18,"1","1","4","1","1","3"
1,32,18,"1","1","5","1","3","4"
1,33,18,"1","1","1","1","2","4"
5,417,19,"2","1","4","1","1","4"
5,416,19,"2","1","5","2","1","4"
5,423,14,"1","1","1","1","4","3"
5,422,19,"1","6","5","1","2","3"
2,160,19,"1","1","5","1","2","3"
2,130,18,"2","1","4","1","1","4"
2,131,16,"2","3","1","1","2","3"
2,132,14,"1","2","1","1","2","2"
2,128,19,"2","1","1","2","1","5"
2,129,15,"2","4",NA,"1","2","4"
1,3,20,"1","1","2","1","1","3"
5,419,13,"1","1","1","1","1","4"
5,1004,18,"2","3","5","1","2","4"
5,1005,18,"1","1","5","1","6","4"
5,1006,19,"1","1","5","1","2","4"
5,444,19,"1","1","4","2","3","4"
5,418,19,"2","1","4","1","1","4"
5,415,15,"2","1","1","1",NA,"4"
5,1007,18,"2","1","1","1","2","4"
4,351,17,"1","1","4","1","5","3"
5,1008,14,"2","1","1","1","2","4"
1,6,14,"1","1","1","1","1","3"
1,5,16,"1","3","1","1","1","3"
1,4,13,"1","1","1","1","1","3"
4,307,17,"1","4","1","1",NA,"2"
6,545,15,"1","1","4","4","2","2"
6,548,17,"1","1","4","1","2","3"
6,544,19,"2","1","5","1","5","3"
6,549,18,"2","1","5","1","2","4"
6,551,14,"1","1","4","1","2","3"
6,550,14,"1","1","4","1","2","3"
6,532,18,"1","1","5","1","1","3"
6,537,15,"2","1","1","1","1","4"
4,384,19,"2","6","2","2","1","3"
4,386,16,"1","4","1","2","3","5"
4,383,17,"2","2","1","1","1","2"
4,385,13,"1","5","1","1","1","3"
5,406,13,"1","1","1","1","1","4"
5,466,16,"1","1","2","1","1","3"
5,405,15,"2","1","1","1",NA,"4"
2,107,20,"1","1","5","1","2","4"
2,102,18,"1","1","5","1","2","3"
5,404,13,"1","1","1","1","1","4"
5,410,13,"2","1","1","1","3","5"
5,407,14,"2","1","1","1","3","4"
5,408,15,"1","1","1","1","3","4"
5,409,17,"1","1","1","2","2","3"
5,456,13,"1","1","1","1","2","4"
1,19,20,"1","1","5","1",NA,"3"
1,18,19,"2","1","3","2","1","4"
1,17,17,"1","1","1","1","1","3"
1,25,14,"1","1","1","1","2","4"
1,21,15,"2","1","1","1","1","4"
1,20,18,"2","1","5","1","1","4"
2,146,17,"2","1","1","1","2","3"
1,23,14,"1","1","1","1","2","4"
4,316,20,"1","1","5","1","2","3"
2,178,13,"1","3",NA,"2",NA,"4"
4,333,20,"1","1","1","1","5","3"
4,373,13,"1","1","1","1","2","3"
4,374,20,"1","1","1","1","2","3"
4,375,20,"1","1","5","3",NA,"3"
4,372,20,"1","1","2","1","2","3"
6,534,13,"2","1","1","1","1","3"
6,526,19,"1","1","5","1","1","3"
6,529,19,"2","1","5","1","7","3"
6,528,19,"2","1","5","1","2","4"
6,527,19,"2","1","5","1","2","3"
6,530,15,"2","1","1","1","1","3"
6,533,16,"1","1","1","1","1","3"
2,147,15,"2","1","1","1","2","4"
4,315,20,"1","1","2","1","1","3"
2,177,14,"2","1","1","2","2","3"
2,180,15,"2","1","1","1","2","4"
4,394,18,"2","1","5","1","2","4"
4,393,17,"1","3","4","1","3","5"
4,392,19,"2","4","3","2","1","5"
4,395,15,"1","1","1","2","1","3"
5,413,18,"2","1","4","2","1","4"
2,119,18,"1","1","1","1","1","4"
5,467,15,"1","3","1","1","4","4"
5,470,13,"1","1","1","1","1","4"
5,469,17,"2","2","4","1","1","3"
2,121,20,"2","1","3","1","2","5"
5,468,14,"1","1","1","1","1","3"
3,254,18,"1","1","1","1","5","3"
3,252,18,"1","1","2","1","1","3"
2,122,20,"2","3","5","2","6","3"
4,311,18,"1","1","4","1","1","4"
4,306,18,"1","1","1","1","2","3"
4,304,13,"1","1","4","1","2","4"
5,472,20,"2","1","5","3","2","3"
4,310,17,"1","1","4","1","2","4"
4,324,19,"1","1","5","1","2","3"
4,323,20,"1","1","5","1","2","3"
3,201,17,"1","1","1","1","2","2"
6,588,16,"1","1","1","1","2","4"
6,587,13,"1","1","1","1","2","3"
6,586,13,"1","1","1","1","2","3"
1,46,17,"2","1","1","1","1","4"
1,47,17,"2","1","4","1","1","3"
1,48,19,"1","1","2","1","1","4"
1,49,17,"1","1","2","2","1","4"
1,50,18,"2","1","1","1","1","2"
2,187,20,"2","1","2","1","1","3"
2,192,18,"1","1","5","1","1","4"
2,186,20,"1","1","5","1","2","3"
2,189,18,"2","1","5","1","2","4"
2,185,18,"1","1","5","1","1","4"
2,184,18,"1","1","1","1","2","3"
1,56,17,"1","1","1","1","1","3"
1,59,19,"1","1","2","2","1","4"
1,51,18,"2","1","4","1","1","3"
1,41,18,"1","1","5","1","1","4"
1,42,19,"2","1","5","2","1","4"
1,43,16,"1","1","1","1","2","3"
1,53,18,"1","1","2","4","1","4"
1,52,17,"1","3","4","1","1","5"
1,55,18,"1","3","4","1","1","4"
1,57,19,"1","1","4","2","1","4"
1,61,17,"2","1","4","1","1","3"
1,54,18,"2","3","4","1","1","4"
1,60,16,"2","1","1","1","1","3"
1,58,19,"2","1","4","1","1","4"
4,309,18,"1","1","4","1","1","4"
4,308,18,"1","1","4","1","1","4"
4,312,20,"1","1","4","1","2","3"
4,325,13,"1","1","1","1","1","4"
4,327,14,"1","1","1","1","2","4"
4,328,14,"1",NA,"1","1","2","4"
4,329,14,"1","1","1","1","2","3"
4,330,16,"2","1","1","1","2","3"
4,331,15,"2","3","1","1","2","3"
6,606,19,"2","1","5","1","1","3"
6,607,19,"2","1","5","1","2","2"
6,605,18,"2","1","5","1","3","5"
6,604,19,"2","3","5","1","1","3"
6,602,14,"1","1","1","1","1","3"
6,603,13,"1","1","1","1","1","3"
6,607200,14,"1","1","1","1","1","3"
3,292,17,"1","1","1","1","1","4"
3,293,17,"1","1","1","1","1","4"
2,159,16,"1","1","1","1","4","3"
2,157,14,"2","1","1","1","1","5"
2,156,15,"2","1","1","1","1","5"
3,173,15,"1","1","1","1","1","4"
2,174,13,"1","3","1","1","2","3"
2,175,17,"1","1","1","1","2","3"
1,45,19,"1","1","2","2","1","4"
1,44,17,"1","1","1","1","2","3"
5,30300,15,"1","1","5","1","1","4"
5,1011,15,"1","1","1","1","1","4"
5,1012,17,"1","1","1","1","2","3"
5,1013,15,"1","1","5","3","2","3"
5,28,16,"1","1","1","2","1","4"
