x1.1,x1.2,x1.3,x1.4,x2.1,x2.2,x2.3,x2.4,x2.5,x2.5_5_TEXT,x2.6,x2.7,x2.7_6_TEXT,x2.8,x2.9,x2.10,x2.10_8_TEXT,x2.11,x2.12,x2.12_10_TEXT,x2.13,x2.14,x2.14_5_TEXT,x2.15,x2.16,x2.16_7_TEXT,x2.17,x2.18,x2.19.1,x2.19.2,x2.19.3,x2.20,x2.21,x2.21_9_TEXT,x3.1,x3.1_1_TEXT,x3.2,x3.3,x3.3_7_TEXT,x3.4,x3.5,x3.6,x3.7,x3.8,x3.9,x3.10,x3.11,x3.12,x3.13,x3.13_8_TEXT,x3.14,x3.14_7_TEXT,x3.15,x3.16,x3.17,x3.17_7_TEXT,x3.18,x3.19,x3.20,x4.1,x4.2,x4.3,x4.4,x4.5,x4.6,x4.7,x4.8,x4.9,x4.10,x4.10_1_TEXT,x4.11,x4.12,x4.13,x4.14,x4.15,x4.16,x4.17,x4.18,x4.19,x4.20,x4.21,x4.22,x5.23,x4.24,x4.25,x4.26,x4.27,x4.28,x4.29,x4.30,x5.1,x5.2,x5.3,x5.4,x5.5,x5.6,x5.7,x5.8,x5.9,x5.10,x5.11,x5.12,x5.13,x5.14,x5.15,x5.16,x6.1,x6.2,x6.3,x6.4,x7.1,x7.2,x7.3,x7.4,x7.5,x7.6,x7.7,x7.8,x7.9,x7.9_6_TEXT,x7.10,x7.11,x7.12,x7.13,x7.14,x7.15,x7.16,x7.17,x8.1,x8.2,x8.3,x8.4,x8.5,x8.6,x8.7,x8.8,x8.9,x9.1,x9.2,x9.3,x9.4,x9.5,x9.6,x9.7,x9.8,x9.9
4,345,22,,18,1,1,,4,,,1,,1,2,1,,2,4,,1,3,,7,2,,4,1,1,2,1,1,3,,1,13,2,1,,1,1,2,1,2,,2,,2,7,,6,,1,4,6,,2,2,2,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,2,,2,,1,4,2,4,,1,4,6,,1,1,1,1,2,1,5,1,5,5,1,5,5,4,2,2,2,2,2,2,2,2
4,344,22,,19,1,,,,,,1,,5,1,1,,2,4,,2,2,,3,2,,3,1,2,3,1,1,3,,1,17,2,1,,2,2,2,1,1,18,2,1,1,1,,1,,2,5,6,,1,2,2,1,2,1,1,1,1,2,1,18,1,,2,2,,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,2,1,4,2,1,2,2,2,3,2,2,2,2,1,2,5,2,5,1,4,2,4,,2,4,6,,1,1,2,1,1,1,4,4,3,4,2,4,4,2,2,3,2,3,2,3,2,2
5,1000,37,2025-03-20,19,1,,,,,,1,,5,1,5,,4,5,,2,1,,7,1,,4,1,2,2,3,1,2,,1,17,1,1,,3,2,2,2,2,,,,,,,,,,,1,,2,2,2,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,2,,2,,1,5,3,,,2,3,4,4,,1,1,1,,,5,5,5,5,,,5,,,,1,1,1,1,1,1
5,30,,2025-03-20,17,2,2,,,,11,2,,4,1,6,,2,4,,2,3,,4,1,,3,1,2,2,1,1,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,2,,1,3,1,,,1,,3,4,1,1,1,2,1,1,5,5,5,5,1,5,5,1,1,2,2,,2,1,2,1
5,30200,,2025-03-20,16,2,1,8,,,,4,,1,1,6,,2,3,,2,2,,,1,,3,1,4,2,1,1,3,,,,,,,,,,,1,,1,2,1,2,,1,,,,,,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,2,1,3,1,2,1,1,,1,1,1,1,1,1,1,1,,,4,5,4,5,1,4,4,1,2,1,2,3,2,3,2,2
5,1001,37,2025-03-20,19,1,2,,,,,1,,5,1,6,,2,1,,2,2,,4,1,,5,1,2,2,3,1,2,,1,15,2,1,,3,1,2,1,1,,3,7,1,1,,8,,2,,5,,2,2,2,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,1,2,,2,,1,5,2,,,2,4,5,,,,,,,,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1
5,1002,31,2025-03-20,20,1,2,,,,11,1,,5,1,6,,2,3,,2,2,,7,2,,3,1,3,3,1,1,4,,1,14,2,2,,3,1,1,2,1,18,2,3,1,1,,1,,1,4,3,,1,2,2,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,,2,5,1,3,2,4,,1,4,3,4,2,2,1,2,1,2,1,2,1,2,1,4,2,1,2,2,2,1,1,2,2,1
5,1003,31,2025-03-20,20,1,2,,,,11,1,,5,1,6,,2,10,pay for toilet,2,2,,,2,,3,1,3,3,1,1,4,,1,15,2,1,,3,1,1,1,1,18,2,7,2,7,,1,,1,8,3,,2,1,2,2,,,,,,,1,19,2,,1,2,,2,2,2,2,1,2,2,,1,3,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,2,2,2,2,1,2,2,2,1,2,1,1,2
4,343,22,,19,2,,,4,,,3,,1,1,1,,3,4,,2,3,,1,5,,3,1,3,2,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,2,,1,4,1,3,1,1,,1,3,4,4,1,1,2,1,2,1,1,2,2,3,4,4,2,1,1,2,4,2,2,1,1,1
4,346,22,,19,1,2,,,,14,1,,4,1,1,,2,2,,2,2,,7,5,,3,2,3,3,1,3,3,,1,14,2,5,,1,2,2,1,,,3,7,2,7,,6,,2,5,6,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,5,3,5,1,3,2,,,2,4,6,,3,3,3,3,1,2,4,4,4,4,3,4,4,1,2,1,2,1,2,3,3,2
