"x1.2","x2.1","x2.2","x3.6","x3.12","x3.13","x4.4","x4.16","x4.21","x5.14"
345,18,1,2,2,7,NA,NA,NA,NA
344,19,1,2,1,1,1,1,1,2
1000,19,1,2,NA,NA,NA,NA,NA,NA
30200,16,2,NA,1,2,1,NA,NA,NA
1001,19,1,2,1,1,NA,NA,NA,NA
1002,20,1,1,1,1,NA,NA,NA,NA
1003,20,1,1,2,7,NA,2,NA,2
346,19,1,2,2,7,NA,NA,NA,NA
484,15,1,1,1,5,NA,1,1,1
485,14,1,1,1,5,NA,NA,NA,1
487,15,1,1,1,5,NA,1,1,1
104,19,2,NA,2,1,NA,NA,NA,NA
105,19,1,2,1,1,NA,NA,NA,NA
106,18,1,2,1,1,NA,NA,NA,NA
87,16,1,2,1,5,NA,NA,NA,NA
88,19,1,1,2,7,NA,NA,NA,NA
90,18,1,2,2,5,NA,NA,NA,NA
348,13,2,NA,2,7,NA,NA,NA,NA
350,19,1,1,1,3,NA,NA,NA,NA
35,18,1,2,1,4,NA,NA,NA,NA
36,17,1,2,1,4,NA,NA,NA,NA
37,16,1,2,2,7,NA,NA,NA,NA
38,15,2,NA,2,7,NA,NA,NA,NA
39,19,1,2,1,4,NA,NA,NA,NA
155,13,1,NA,2,7,NA,NA,NA,NA
305,16,1,2,NA,NA,NA,NA,NA,NA
117,13,2,NA,1,NA,NA,NA,NA,NA
1,19,1,1,1,5,NA,NA,NA,NA
341,20,1,2,1,1,2,2,NA,2
301,13,1,2,1,1,NA,NA,NA,NA
361,19,1,2,NA,NA,2,NA,NA,NA
224,16,1,1,1,3,2,1,1,1
371,16,1,2,2,NA,NA,NA,NA,NA
369,20,1,2,2,NA,NA,NA,NA,NA
183,18,1,1,2,NA,NA,NA,NA,NA
166,19,1,2,1,1,NA,NA,NA,NA
96,17,1,2,2,5,NA,NA,NA,NA
31,15,1,2,NA,NA,NA,NA,NA,NA
101,15,1,1,1,1,NA,NA,NA,NA
291,15,1,1,1,NA,NA,NA,NA,NA
149,19,2,NA,2,7,NA,NA,NA,NA
261,19,1,1,1,1,NA,NA,NA,NA
289,13,1,NA,1,NA,NA,NA,NA,NA
290,16,1,1,NA,NA,NA,NA,NA,NA
287,19,1,1,1,NA,NA,NA,NA,NA
288,15,1,NA,1,NA,NA,NA,NA,NA
266,20,1,1,1,1,NA,NA,NA,NA
225,19,1,2,1,5,2,2,1,2
226,16,1,1,2,NA,NA,NA,NA,NA
222,18,1,2,2,NA,NA,NA,NA,NA
227,18,1,1,1,1,NA,NA,NA,NA
370,15,2,NA,1,1,NA,NA,NA,NA
347,15,2,NA,2,NA,NA,NA,NA,NA
124,18,2,NA,2,NA,NA,NA,NA,NA
321,19,1,1,2,NA,NA,NA,NA,NA
242,16,1,2,NA,NA,NA,NA,NA,NA
524,18,2,NA,1,5,NA,NA,NA,NA
232,18,1,1,2,NA,NA,NA,NA,NA
233,19,2,NA,NA,NA,2,NA,NA,NA
235,16,1,1,2,NA,NA,1,1,2
215,19,1,1,1,1,NA,NA,NA,NA
295,16,1,2,1,NA,NA,NA,NA,NA
116,17,1,1,1,NA,NA,NA,NA,NA
297,14,1,2,1,5,NA,NA,NA,NA
334,16,2,NA,1,NA,NA,NA,NA,NA
296,13,1,2,1,1,NA,NA,NA,NA
335,19,1,2,1,NA,NA,2,NA,2
376,18,1,2,1,2,2,2,NA,3
377,19,1,2,1,2,NA,2,NA,3
170,20,1,1,1,1,NA,NA,NA,NA
176,20,1,2,1,NA,NA,1,4,2
195,20,2,NA,2,NA,NA,NA,NA,NA
198,20,1,1,1,4,1,1,4,2
190,18,1,2,2,NA,NA,NA,NA,NA
539,17,1,1,1,NA,NA,NA,NA,NA
542,19,2,NA,1,NA,NA,NA,NA,NA
543,18,2,NA,1,NA,NA,NA,NA,NA
540,16,2,NA,1,NA,NA,NA,NA,NA
538,18,1,1,1,NA,2,1,NA,2
541,17,2,NA,1,NA,NA,NA,NA,NA
162,19,1,2,1,5,NA,2,1,2
163,14,1,2,2,7,NA,NA,NA,NA
197,13,1,2,1,3,NA,NA,NA,NA
34,18,1,1,2,NA,NA,NA,NA,NA
