"x1.2","x2.1","x2.2","x2.7","x2.8","x2.9","x2.16","x2.17"
345,18,1,1,1,2,2,4
344,19,1,1,5,1,2,3
1000,19,1,1,5,1,1,4
30,17,2,2,4,1,1,3
30200,16,2,4,1,1,1,3
1001,19,1,1,5,1,1,5
1002,20,1,1,5,1,2,3
1003,20,1,1,5,1,2,3
343,19,2,3,1,1,5,3
346,19,1,1,4,1,5,3
484,15,1,1,1,1,4,3
485,14,1,1,1,1,4,3
486,13,1,3,1,1,5,3
487,15,1,3,1,1,4,3
104,19,2,1,5,1,1,4
105,19,1,1,5,1,2,4
106,18,1,1,5,1,2,4
108,20,2,1,2,1,1,4
111,13,2,1,1,1,5,3
87,16,1,1,1,1,2,4
88,19,1,1,1,1,2,4
89,18,2,3,1,1,2,3
90,18,1,1,2,3,2,3
91,13,1,1,1,1,1,2
283,20,2,3,5,2,1,4
284,20,2,3,4,1,7,2
285,19,2,1,1,2,1,4
349,20,2,1,5,2,2,3
348,13,2,1,1,1,5,3
350,19,1,1,5,2,2,3
35,18,1,1,4,1,2,4
36,17,1,1,1,1,2,4
37,16,1,1,1,1,2,4
38,15,2,1,1,1,1,4
39,19,1,1,5,1,2,4
40,15,2,1,5,1,1,4
155,13,1,1,1,1,2,3
305,16,1,1,4,1,1,4
117,13,2,1,1,1,1,3
1,19,1,1,5,1,1,3
341,20,1,1,4,1,2,3
301,13,1,1,4,1,1,4
361,19,1,1,5,1,2,3
223,20,2,1,5,1,2,3
224,16,1,1,1,1,6,4
371,16,1,1,5,1,2,3
369,20,1,1,5,1,2,3
183,18,1,1,5,1,2,2
166,19,1,1,4,1,1,4
96,17,1,1,1,1,6,3
31,15,1,1,1,1,1,3
101,15,1,1,1,1,NA,4
291,15,1,4,1,1,1,3
149,19,2,1,5,2,2,4
261,19,1,1,2,1,1,3
289,13,1,1,1,2,2,3
290,16,1,1,1,1,2,3
287,19,1,1,1,1,1,3
288,15,1,1,1,2,2,3
266,20,1,1,5,1,2,3
225,19,1,1,4,1,1,3
226,16,1,1,1,1,1,4
222,18,1,1,1,1,2,3
227,18,1,1,5,1,1,3
370,15,2,1,1,1,2,3
347,15,2,1,1,1,5,4
244,14,2,1,NA,NA,2,3
