"x1.2","x2.1","x2.2","x4.1","x4.2","x4.3","x4.4","x4.5","x4.6","x4.14","x4.7"
345,18,1,2,NA,NA,NA,NA,NA,NA,NA
344,19,1,1,2,1,1,1,1,1,2
1000,19,1,2,NA,NA,NA,NA,NA,NA,NA
30200,16,2,1,1,1,1,1,1,NA,1
1001,19,1,2,NA,NA,NA,NA,NA,NA,NA
1002,20,1,2,NA,NA,NA,NA,NA,NA,NA
1003,20,1,2,NA,NA,NA,NA,NA,2,NA
104,19,2,3,NA,NA,NA,NA,NA,NA,NA
105,19,1,2,NA,NA,NA,NA,NA,NA,NA
106,18,1,2,NA,NA,NA,NA,NA,NA,NA
108,20,2,2,NA,NA,NA,NA,NA,NA,NA
111,13,2,2,NA,NA,NA,NA,NA,NA,NA
87,16,1,2,NA,NA,NA,NA,NA,NA,NA
88,19,1,2,NA,NA,NA,NA,NA,NA,NA
90,18,1,2,NA,NA,NA,NA,NA,NA,NA
91,13,1,2,NA,NA,NA,NA,NA,NA,NA
283,20,2,2,NA,NA,NA,NA,NA,NA,NA
284,20,2,2,NA,NA,NA,NA,NA,NA,NA
285,19,2,2,NA,NA,NA,NA,NA,NA,NA
348,13,2,2,NA,NA,NA,NA,NA,NA,NA
350,19,1,2,NA,NA,NA,NA,NA,NA,NA
117,13,2,2,NA,NA,NA,NA,NA,NA,NA
1,19,1,3,NA,NA,NA,NA,NA,NA,NA
341,20,1,1,NA,1,2,2,2,2,2
301,13,1,2,NA,NA,NA,NA,NA,NA,NA
361,19,1,1,1,2,2,2,2,NA,1
224,16,1,1,2,1,2,1,1,2,1
371,16,1,3,NA,NA,NA,NA,NA,NA,NA
369,20,1,3,NA,NA,NA,NA,NA,NA,NA
183,18,1,2,NA,NA,NA,NA,NA,NA,NA
166,19,1,2,NA,NA,NA,NA,NA,NA,NA
101,15,1,3,NA,NA,NA,NA,NA,NA,NA
291,15,1,3,NA,NA,NA,NA,NA,NA,NA
149,19,2,2,NA,NA,NA,NA,NA,NA,NA
289,13,1,2,NA,NA,NA,NA,NA,NA,NA
287,19,1,2,NA,NA,NA,NA,NA,NA,NA
288,15,1,2,NA,NA,NA,NA,NA,NA,NA
225,19,1,1,2,1,2,1,1,2,1
226,16,1,2,NA,NA,NA,NA,NA,NA,NA
222,18,1,2,NA,NA,NA,NA,NA,NA,NA
370,15,2,3,NA,NA,NA,NA,NA,NA,NA
124,18,2,2,NA,NA,NA,NA,NA,NA,NA
234,20,2,2,NA,NA,NA,NA,NA,NA,NA
233,19,2,1,2,1,2,1,1,NA,1
116,17,1,2,NA,NA,NA,NA,NA,NA,NA
334,16,2,2,NA,NA,NA,NA,NA,NA,NA
376,18,1,1,2,2,2,1,2,2,2
377,19,1,3,NA,NA,NA,NA,NA,2,NA
170,20,1,2,NA,NA,NA,NA,NA,NA,NA
176,20,1,2,NA,NA,NA,NA,NA,1,NA
198,20,1,1,1,2,1,2,1,1,2
