"x1.2","x2.1","x2.2","x2.3","x2.4","x2.5","x2.6"
30,17,2,2,NA,NA,11
30200,16,2,1,8,NA,NA
1002,20,1,2,NA,NA,11
1003,20,1,2,NA,NA,11
346,19,1,2,NA,NA,14
486,13,1,1,6,1,NA
108,20,2,2,NA,NA,14
111,13,2,1,7,1,NA
87,16,1,1,10,1,NA
88,19,1,1,11,4,NA
89,18,2,1,12,4,NA
90,18,1,2,NA,NA,7
91,13,1,1,6,1,NA
283,20,2,2,NA,NA,14
284,20,2,2,NA,NA,14
285,19,2,2,NA,NA,14
348,13,2,1,6,NA,NA
350,19,1,2,NA,NA,14
35,18,1,2,NA,NA,14
36,17,1,1,9,1,NA
37,16,1,1,8,2,NA
38,15,2,1,8,1,7
40,15,2,1,8,1,14
155,13,1,1,7,1,NA
305,16,1,1,7,1,NA
117,13,2,1,7,1,NA
1,19,1,2,NA,NA,14
341,20,1,2,NA,NA,14
301,13,1,1,7,2,NA
224,16,1,1,10,1,NA
371,16,1,2,NA,NA,14
369,20,1,2,NA,NA,14
183,18,1,2,NA,NA,14
166,19,1,2,NA,NA,14
96,17,1,1,10,1,NA
101,15,1,1,9,1,NA
291,15,1,1,10,1,NA
261,19,1,2,NA,NA,11
289,13,1,1,8,1,NA
290,16,1,1,8,NA,8
288,15,1,1,9,1,NA
266,20,1,2,NA,NA,11
226,16,1,1,8,1,1
222,18,1,1,11,2,11
227,18,1,2,NA,NA,11
370,15,2,1,8,1,NA
347,15,2,1,9,NA,NA
244,14,2,1,8,2,NA
124,18,2,2,NA,NA,14
234,20,2,2,NA,NA,9
1200,18,1,2,NA,NA,11
233,19,2,2,NA,NA,11
235,16,1,1,7,1,7
215,19,1,1,7,1,NA
295,16,1,1,10,1,NA
116,17,1,2,NA,NA,14
297,14,1,1,8,2,NA
334,16,2,1,9,1,NA
296,13,1,1,8,NA,NA
335,19,1,2,NA,NA,14
376,18,1,2,NA,NA,14
377,19,1,2,NA,NA,14
170,20,1,2,NA,NA,14
176,20,1,2,NA,NA,14
539,17,1,1,10,2,NA
542,19,2,2,NA,NA,11
543,18,2,2,NA,NA,11
540,16,2,1,9,1,NA
538,18,1,2,NA,NA,10
541,17,2,1,10,1,NA
163,14,1,1,7,1,NA
26,16,2,1,9,1,NA
197,13,1,1,10,1,NA
34,18,1,2,NA,NA,14
32,18,1,2,NA,NA,14
420,16,1,1,8,1,NA
423,14,1,1,7,1,NA
422,19,1,2,NA,NA,11
160,19,1,2,NA,NA,14
130,18,2,2,NA,NA,14
131,16,2,1,10,1,NA
132,14,1,1,8,1,NA
129,15,2,2,NA,NA,7
3,20,1,2,NA,NA,14
419,13,1,1,5,1,NA
1004,18,2,1,11,1,NA
1005,18,1,2,NA,NA,11
1006,19,1,2,NA,NA,11
444,19,1,1,8,2,9
415,15,2,1,7,1,NA
1007,18,2,1,11,1,NA
351,17,1,2,NA,NA,14
1008,14,2,1,6,1,NA
6,14,1,1,7,1,NA
4,13,1,1,7,1,NA
1009,15,1,1,7,1,NA
307,17,1,1,10,1,NA
545,15,1,1,9,1,9
548,17,1,1,12,1,NA
544,19,2,2,NA,NA,14
551,14,1,1,8,1,NA
550,14,1,1,7,1,NA
532,18,1,2,NA,NA,10
384,19,2,2,NA,NA,12
386,16,1,1,10,1,NA
383,17,2,1,12,1,NA
385,13,1,1,7,2,NA
406,13,1,1,5,1,NA
466,16,1,2,NA,NA,8
405,15,2,1,7,1,NA
107,20,1,2,NA,NA,11
404,13,1,1,7,1,NA
410,13,2,1,7,1,NA
407,14,2,1,8,1,NA
408,15,1,1,8,1,NA
409,17,1,2,NA,NA,10
456,13,1,1,5,2,NA
460,14,2,1,6,1,NA
452,17,2,1,13,1,NA
457,19,1,2,NA,NA,11
18,19,2,2,NA,NA,14
17,17,1,1,10,1,NA
25,14,1,1,8,1,NA
24,20,1,2,NA,NA,14
21,15,2,1,8,1,7
20,18,2,2,NA,NA,14
146,17,2,1,12,NA,NA
23,14,1,1,8,1,NA
316,20,1,2,NA,NA,11
178,13,1,1,6,2,NA
458,20,2,2,NA,NA,11
459,19,1,2,NA,NA,11
454,19,1,2,NA,NA,11
453,20,1,2,NA,NA,11
461,14,2,1,7,1,NA
373,13,1,1,6,1,NA
375,20,1,2,NA,NA,14
372,20,1,2,NA,NA,14
534,13,2,1,NA,NA,7
526,19,1,2,NA,NA,11
529,19,2,2,NA,NA,11
528,19,2,2,NA,NA,11
530,15,2,1,9,2,NA
533,16,1,1,9,1,NA
147,15,2,1,9,NA,NA
315,20,1,2,NA,NA,14
177,14,2,1,6,NA,NA
180,15,2,1,7,2,NA
393,17,1,1,12,3,NA
392,19,2,1,13,1,NA
395,15,1,1,10,1,NA
119,18,1,1,9,1,NA
467,15,1,1,7,2,NA
470,13,1,1,7,1,NA
469,17,2,1,8,NA,NA
121,20,2,1,12,1,NA
468,14,1,1,5,1,NA
254,18,1,1,7,1,NA
122,20,2,2,NA,NA,11
306,18,1,1,10,2,NA
304,13,1,1,7,1,NA
310,17,1,1,9,1,9
323,20,1,2,NA,NA,14
401,16,1,1,9,1,NA
201,17,1,1,9,1,NA
588,16,1,1,6,2,NA
587,13,1,1,10,1,NA
586,13,1,1,7,1,NA
46,17,2,1,13,1,NA
47,17,2,2,NA,NA,14
48,19,1,2,NA,NA,14
49,17,1,2,NA,NA,8
50,18,2,1,13,1,NA
187,20,2,2,NA,NA,11
192,18,1,2,NA,NA,11
186,20,1,2,NA,NA,11
189,18,2,2,NA,NA,11
185,18,1,2,NA,NA,11
184,18,1,1,9,1,NA
56,17,1,1,7,1,NA
59,19,1,2,NA,NA,14
51,18,2,2,NA,NA,14
41,18,1,2,NA,NA,14
42,19,2,2,NA,NA,14
43,16,1,1,9,1,NA
53,18,1,2,NA,NA,14
52,17,1,2,NA,NA,14
55,18,1,2,NA,NA,14
57,19,1,2,NA,NA,14
61,17,2,2,NA,NA,14
54,18,2,2,NA,NA,14
60,16,2,1,11,1,NA
58,19,2,2,NA,NA,14
309,18,1,1,9,1,NA
308,18,1,1,11,1,NA
325,13,1,1,7,1,NA
327,14,1,1,8,NA,NA
328,14,1,1,8,NA,NA
329,14,1,1,8,1,NA
330,16,2,1,9,1,NA
606,19,2,2,NA,NA,11
607,19,2,2,NA,NA,11
605,18,2,2,NA,NA,11
604,19,2,2,NA,NA,11
602,14,1,1,6,1,NA
603,13,1,1,7,1,NA
607200,14,1,1,8,1,NA
292,17,1,1,9,1,NA
293,17,1,1,10,1,NA
159,16,1,1,11,1,NA
157,14,2,1,6,1,NA
156,15,2,1,6,1,NA
173,15,1,1,4,1,NA
